,Platform,Content (Reviews and Tweets),Formatted Dates
324,Twitter,"Enhance your skills with #ISEL  Lean #SixSigma Green Belt certification program. 
https://t.co/YWQxaidYSk https://t.co/1OoLKu9KF4",27-12-2017
325,Twitter,"Immigration services for CANADA &amp; AUSTRALIA.
https://t.co/JMa5yfjoFx https://t.co/Vi8UrgQrTC",21-12-2017
326,Twitter,"Get #success with Lean Six Sigma #certification, to develop skills and increase your team productivity. 
Enroll for LSSGB &amp; LSSBB #Classroom #Training #iselglobal 
Phone: +91-9582-676-175 || Email: contact@iselglobal.com ||https://t.co/1w5t1JaUst https://t.co/604pi3lK0R",26-12-2017
327,Twitter,"Get trained and certify in lean &amp; six sigma certification with an internationally recognized certification from IQF, USA
visit https://t.co/kTiDj0VTFc
#isel global
#sixsigmagreenbelt #certifiedsixsigmagreenbelt
#greenbeltcertificationinindia #sixsigma #leansixsigmagreenbelt https://t.co/lwuQ3gt3eR",19-12-2017
328,Twitter,https://t.co/kG2ixVS4Ke,26-12-2017
329,Twitter,https://t.co/BjbWliTV59,25-12-2017
330,Twitter,"Enroll for upcoming lean six sigma green belt program- https://t.co/YWQxaidYSk 
#sixsigma #lean #isel #iselglobal https://t.co/OIGzXi8LSR",29-12-2017
331,Twitter,"Get trained on project management skills with the worlds best pmp trainers and mentors.

https://t.co/lTeDmTfsMb
#isel #iselglobal #certification #pmp #projectmanager https://t.co/eAVChCRIby",03-01-2018
332,Twitter,#isel #iselglobal https://t.co/XaFOd070Vw,19-12-2017
333,Twitter,"Are you currently looking for your PMP Certification? Find a Course online and get: a mentor, a 5-day boot camp class, and a refund if you're not satisfied! Making your resolutions easy in 2018! How about that? https://t.co/S40nM5z1nE (Use code: SOCIAL for 10%OFF)
#iselglobal https://t.co/jc59oyJ88j",05-01-2018
334,Twitter,https://t.co/5nfNkNiSWF,22-12-2017
335,Twitter,"Big Data Hadoop Certification.
Course Duration 60 hours 
For Discounted Course Fees contact us at +91-9582-676-175.
https://t.co/MMXcnCuYzk
#isel #iselglobal 
#bigdatahadoop
#bigdatacertification https://t.co/fFjSqyuH6F",28-12-2017
336,Twitter,"How to be a successful project manager in your first project?
Get to know with  ISEL GLOBAL - India's Leading Institute for Skill Enhancement &amp; Learning . Get Best Industry experts as Trainers for all Available Courses. Enquire Now .
https://t.co/NDBxFuENj8 https://t.co/1mOt6YY3DW",12-12-2017
337,Twitter,"Get lean six sigma certified with ISEL.
For more details: https://t.co/YWQxaidYSk https://t.co/MHsat9KpeS",21-12-2017
338,Twitter,Because sometimes you need motivation on a Tuesday. #TuesdayMotivation #ISELGLOBAL #SIXSIGMACERTIFICATION #ISEL https://t.co/lZCxkAySmd,12-12-2017
339,ISEL Global,"""I have Cleared my CLSSMBB Black Belt  Certification.T imely positive response & the Trainers/Faculty are outstanding / very well equipped with appropriate knowledge & experience in the field of Six Sigma. Study Material covers all the topics as per the American Society of Quality. Glad to be part of ISEL. Looking forward to other certifications with ISEL Global. "" The POC Mr. Saurabh was really very helpful & Supportive always""""",12-01-2021
340,ISEL Global,"""It was really great course, conceptually was awesome to learn and understand MBB. 
Many Thanks to all""",12-01-2021
341,ISEL Global,"""This would've been a best-in-class program if there are little more training resources added. 
Overall I am satisfied with the program will be looking for more trainings in the future. Rose is an exceptional resource ..she was available for any query i had regarding this program and was able to resolve them in the shortest amount of time. She is a ROCKSTAR! """,12-01-2021
342,ISEL Global,"""Excellent course contents, great sensitization with quality and further enhancing productivity by minimizing the wastage. The mode of teaching is very e-friendly
Mentor has put his best effort into imparting excellent skilled knowledge with his vast experience in this field.""",12-01-2021
343,ISEL Global,"""I take this opportunity to thank ISEL Global for the enriching program. It is by far the best training program I have attended. I thank my Trainer Debasish Mukherjee SIr for support and mentoring. His way of explanation is hands-on and easy to understand. He made even the complicated statistical theories easy to understand. He first gave examples from real life, then followed up with equivalent examples from Statistics. 
The program is a good balance of Business theories and Statistical theories. I strongly recommend this program, for anyone looking for a good grasp of SIx Sigma methodologies. 
I thank the entire team of ISEL Global for all support. I thank the Program Manager, Saurabh Kumar Sir, for his continuous motivation during the program. 
I once again thank ISEL Global for this rich learning experience. I look ahead to attend more training programs from ISEL Global. """,22-09-2020
344,ISEL Global,"""Glad to get Master Black Belt Certification. 
The program addressed all the relevant components of Six Sigma and its applications in any domain. The program included theoretical as well as practical information on how to use lean and six sigma concepts in a detailed way. The trainer was knowledgeable on the topic. Support by the team is commendable. Overall all went excellent.""",22-09-2020
345,ISEL Global,"""The program was very well structured with theoretical classes, an explanation of various practical example problems, as well as Live Minitab exercises. Customer support experience was the best throughout the program, Mr. Saurabh was very quick to react for any support required and highly accommodating. Last but not least our trainer, Mr Debashish Mukerjee has trained us with his extensive deep practical knowledge in the subject and been very helpful throughout the Program with any questions. Overall, my experience with ISEL was Splendid. """,15-09-2020
346,ISEL Global,"""Glad to complete and get certified in Lean Six Sigma Green Belt. Thanks a lot, ISEL. Highly recommended! 
Will surely come back to win the Black Belt. God bless the entire ISEL Team. """,15-09-2020
347,ISEL Global,"""Mr. Rohit is a very capable trainor. He ensured that everyone is catching up with the topics and he answers all relevant questions. His teaching and mentoring abilites are highly commendable.  I have received so much support from the support team and he makes sure that all my concerns were resolved. I am thankful that he even arranged for a further discount so I could avail of the CLSSGB course. He is a gentleman and a sincere fellow.  Many thanks to both Messrs. Rohit and Vaibhav.
""",01-08-2020
348,ISEL Global,"""Thanks, ISEL Global for this wonderful course. Great Online Session! You guys are really awesome! Looking forward to more training with your guys!""",01-08-2020
349,ISEL Global,"""Completed and got certified as MBB Today. I found the program very useful and insightful, great learning experience. Tremendous customer support provided by Shubham, he got me enrolled on a weekend and was always there to support. Trainer Mr. Debasis Mukherjee was excellent and his talking style and mannerism reminded me of my Prof. at XLRI. Overall great experience.""",20-07-2020
350,ISEL Global,"""I thoroughly enjoyed this Six Sigma Master Black Belt course. As far as I am concerned, it met all the promises that were made at the beginning of the course. The curriculum is nicely designed for ensuring people become change agents.  It was fun, clear, and efficient; and loaded with practical examples from various industries. Job well done.""",20-07-2020
351,ISEL Global,"""It was an amazing experience the faculty was really good with great knowledge and experience. All people working on ISEL is very helpful in guiding about the course structure.""",04-07-2020
352,ISEL Global,"""Great Program and great Instructor. The trainer has taken it very well, explaining each and every topic of this Master Black Belt in a precise and practical manner. 
The sessions were nicely designed, interactive, and loaded with lots of discussion and assignments. 
Highly recommended. """,04-07-2020
353,ISEL Global,"""Glad to complete and getting certified as MBB today. 
It's real value for money, a very well organized course, customer service and support is highly appreciated. Highly recommended for Lean Six Sigma GB, BB, and MBB. The best ever online course attended. 
""",04-07-2020
354,ISEL Global,"""This is the BEST online course I've taken so far on any other online platform.I appreciate the care taken to script each lesson and I also like the way of trainer's teaching that kept all of the participants' engaged. Trainer's knowledge of the entire topic was excellent. The assignments were given from the real problem scenarios.It was easy for us to correlate with real problems and challenges we face in consulting work and also for managing our internal and external stakeholders.My feedback will be incomplete if I do not mention the name of Sourabh and Shubham and entire  ISEL support team.They managed the entire curriculum (from querier & registration to certification handover) in a very organized manner that too in this COVID 19 crisis situation.I would highly recommend this course to everyone. Many thanks!
""",04-07-2020
355,ISEL Global,"""Excellent Program. 
Great mentor, nice experience during the training. The MBB course i was looking in for a long time and at ISEL Global I achieved it. It was a smooth transition and easy to complete MBB certification. """,04-07-2020
356,ISEL Global,"""Recently completed instructor-led LSSGB program. Customer support was very prompt, special thanks to Saurabh for his all-time support. And the trainer (Mr. Debashish) was excellent, very supportive, and knowledgeable. Study material can be improved and typos corrected. Overall a good program.
Highly recommended....""",26-05-2020
357,ISEL Global,"""I have cleared the examination for the Lean six sigma Black Belt.
Timely responses from the team. Trainers are very well equipped with the relevant knowledge & experience in the field & they use the right approach and examples for the students to comprehend each & every content of the course. The program includes all the necessary stuff required in the industry and is very well organized. """,26-05-2020
358,ISEL Global,"""Well, delivered program. Support by team is a good and very cooperative staff. The program is flexible and gives you ample time and flexibility to cover and completed the certification. """,26-05-2020
359,ISEL Global,"""I passed the CLSSBB examination today. The training was amazing. Trainer, Mr. Mukherjee cleared all our doubts. Wonderful training institution. All associated members of ISEL are awesome and very professional. 
1 Suggestion - BB training Q&A shared minimally. It would be good it can be included more for the upcoming batches.
Highly recommended institution and black belt course here. Thanks""",26-05-2020
360,ISEL Global,"""The LSSBB course and conduct were methodical and coherent. ISEL Global provided an interactive platform in providing the opportunity to learn about the crucial course content that is essential to all the existing and aspiring management leaders. The instructor had in-depth knowledge and was professional in his conduct. The customer support was praiseworthy and Mr. Suarabh's involvement is praiseworthy. The training material was good and will be handy for future requirements as well.""",26-05-2020
361,ISEL Global,"""I have passed the examination for LSSBB. The program organized by ISEL GLOBAL was effective in terms of the materials recommended for the study and the relevancy of the concepts. Customer support was very responsive. 
The trainer had a very strong knowledge of the concepts and very patient in answering the queries raised by the trainees.
Highly recommended institution...""",05-05-2020
362,ISEL Global,"""It was a very well-conducted program, for me it was entirely a new area of study since I had no corporate experience and background knowledge. I was provided with all the necessary help by the team ISEL especially Mr. Saurabh who had been forthcoming to all my requirements related to the course. Mr. Suarabh responded to all my communication at any point of time. I am really grateful and thankful to him. The course material was received well in time and I was pitched at the very basic to the advanced level at my uptake level. The trainer was very well versed with the subject and he with his vast experience of handling six sigma projects could give us insights and applicability of the usage and practice of the new learning. I am really thankful to Team ISEL and especially Mr. Saurabh again for making me sail through this rigorous course in a smooth way....""",05-05-2020
363,ISEL Global,"""The program was effective in terms of the materials recommended for the study and the relevancy of the concepts. Customer support was very responsive and polite enough to answer the questions raised regarding the course. The trainer was highly experienced, had a very strong knowledge of the concepts, and very patient in answering the queries raised by the trainees. """,05-05-2020
364,ISEL Global,"""I have completed the GB certification today. The entire team of ISEL is very professional and supportive. Live and recorded sessions are really interesting and based on practical knowledge. Trainer is well knowledgeable and experienced. 
It is a well-organized program. Looking forward to the Six Sigma Black Belt course. """,05-05-2020
365,ISEL Global,"""Today I completed and passed my green belt certification on lean six sigma methodology. I would like to Thank & Congratulate the whole team of ISEL for the wonderful work they are doing. Each member associated with me from the very first day til the completion of the course, training content, trainer, facilitators - all were super fine!""",05-05-2020
366,ISEL Global,"""First Enrolment process is easy, customer support is excellent before and during the sessions, the trainer voice, presentation is excellent and easy to understand with practical examples..the trainers are chosen wisely who are really experienced and creating value to candidates..Many thanks to Trainer Debasish sir for his practical training. """,03-05-2020
367,ISEL Global,"""Simply 10/10. Awesome course........""",03-05-2020
368,ISEL Global,"""A very nice program and balanced program. The trainer, online class, and support by backend team all well designed and executed. Overall satisfactory course. Thanks to all. """,03-05-2020
369,ISEL Global,"""I would like to thanks and appreciate Ayesha (Trainer) and ISEL Team, I found the course content of  ""Lean Six Sigma"" was very practical, well-structured and organized. The training style was very interactive, illustrated with live examples and learnt a lot that will be benefited my role in the workplace. Moreover, My heartiest special thanks to Mr. Saurabh and Mr. Shubam for his extended support during the entire journey so far. Really enjoyed and look forward to learning more in the future.""",03-05-2020
370,ISEL Global,"""No doubt it is the best learning experience for me. It was our first training with ISEL  and we found it completely organized and effective. 
The trainer is very supportive and knowledgeable. Support by Saurabh is commendable. The entire team of ISEL is very professional and supportive. """,03-05-2020
371,ISEL Global,"""The entire team of ISEL is very professional and supportive. 
Happy to get Leading SAFe Agilist Certified. Looking forward to other certifications now. Thanks to all""",03-05-2020
372,ISEL Global,"""Mr. Prasad, our PMP trainer is excellent. 
The workshop well organized, highly engaging, and interactive. """,03-05-2020
373,ISEL Global,"""My experience had really been good as far as the training material and class are concerned, they are very comprehensive and detailed and will give you a very good insight into the knowledge and information on Agile, SAFe process. Recommended. """,27-04-2020
374,ISEL Global,"""I took SSBB, PMP, and SAFe certification at ISEL GLOBAL. The Leading SAFE 4.6 course was well-structured, planned & executed. Trainer, support team, and material all good and informative. Keep it up, ISEL GLOBAL! Sincere thanks to all for guidance and helping in getting certified.  
Now looking forward to Six Sigma Black Belt course. """,27-04-2020
375,ISEL Global,"""Today I passed my SAFe 4.6 certification examination and all thanks for ISEL and Trainer for this. I got an end to end support from learning to passing the examination. Our trainer is an excellent instructor and he was kind enough to share as many of his work experiences in the class. Highly interactive class. He was constantly giving tips on how to pass the exam and it was great of him to motivate the group""",27-04-2020
376,ISEL Global,"""Great course, great arrangements, and an awesome trainer. I never thought it would be so quick and easy to achieve. All thanks to Shubham and the trainer for this. I think everyone should take a course with ISEL GLOBAL. It was quite informative, loaded with materials and preparation. I recommend all SAFe & PMP to attend this course with ISEL.""",27-04-2020
377,ISEL Global,"""I had a wonderful experience in learning and attending the PMP Sessions with Mr. Prasad. He is an amazing trainer and the best part was during his sessions it was more discussion than one-way learning. He cleared the concepts with real-time examples and cleared all our doubts. It was altogether with a great session.""",27-04-2020
378,ISEL Global,"""The program was quite informative and precise, with lot of attention to details about Project Management methodologies and PMP certification and Mr. Prasad as a trainer has carried out the program very well with patience and provided all information required, study material and references which am sure would help in clearing the certification easily.................................................""",27-04-2020
379,ISEL Global,"""I have taken the Six Sigma Black Belt Exam & Successfully Completed it. Excellent and Experience Trainers at ISEL GLOBAL to learn and apply. Virtual class loaded with Explanation with Examples across all sectors. I found it very structured way to cover up core topics. 
Materials helped me to complete both Green & Black Belt Six Sigma Certification. 
I would recommend ISEL to all. """,26-04-2020
380,ISEL Global,"""Excellent, very informative, and productive program. The online classes very interactive and engaging, trainer well knowledgeable, and experienced. I got full support from the support team and the faculties in the learning journey. 
Highly recommended for Six Sigma Black Belt & PMP certification. """,26-04-2020
381,ISEL Global,"""I just finished SAFe 4.6 training and passed the exam conducted by Scaled Agile INC. My experience had really been good as far as the training material and recordings are concerned, they are very comprehensive and detailed and will give you a very good insight into the knowledge and information on Agile, SAFe process. 

I have gone through the recordings of 2 faculties and both of them are really detailed and kinda answer most of the questions and doubts one would have. Above all, my experience with Saurabh is phenomenal, he gives you real-time support and he will always be there to help you. In nutshell, if one has to go for SAFe SDP & Agilist knowledge and certification, I believe ISEL is second to none""",26-04-2020
382,ISEL Global,"""I have completed the Six Sigma Green Belt online test. The content of the program was very comprehensive and the chapters were explained in detail during online lectures. I would like to continue my next level of Six Sigma from ISEL and also would recommend ISEL to people I know for certification.""",25-04-2020
383,ISEL Global,"""I have successfully cleared the Green Belt Assessment. Really good and detailed curriculum, easy to understand and follow. The trainer and support by ISEL are very good. Support by Mr.Shubham is commendable, he is always available for all support. Highly recommended course and institution for six sigma courses.""",25-04-2020
384,ISEL Global,"""Well designed course for professionals. Customer support is good. The trainer is having sound knowledge of GB methodology. Overall wonderful experience. Looking forward to Balck Belt course now. """,25-04-2020
385,ISEL Global,"""The course was simple and the data/inputs were very nicely designed to help starters understand lean in a better way. The study material was also standard and good for starters. Support is available throughout the course from enrollment to getting certified. More real industry implementation examples will make the course more attractive...... Overall the course was good and satisfactory..""",25-04-2020
386,ISEL Global,"""Glad to complete my black belt lean six sigma certification today. The training is very good and satisfied. ISEL rainers is having good knowledge of six sigma methodology and they explain and train with suitable industry examples and case studies. The support of the ISEL team is very good. Thanks to the entire team and organizer for the wonderful workshop and support. """,25-04-2020
387,ISEL Global,"""ISEL GLOBAL is a wonderful institution with quality approachable individuals more so during the time of lock-down period also. The support by the team during the course tenure is commendable. This course has given me more confidence in doing the work with a humane face without indulging in blame games as in traditional work culture.""",25-04-2020
388,ISEL Global,"""Overall the course was good, Informative and will surely help one in the future with thorough knowledge about lean. The customer support is very good, trainers and coordinators available all time to solve course-related problems. I hope to do some more courses from ISEL in the future. """,25-04-2020
389,ISEL Global,"""Curriculum & covered topics are taught in easily understandable language, with examples. Awesome customer support from Mr. Saurabh. The trainer is very knowledgeable. Would definitely recommend it to my family and friends. Even my wife is looking forward to taking up this course from ISEL........""",25-04-2020
390,ISEL Global,"""The Program is quite good. It covers most of the aspects of the practical field. The study material provided is very helpful for future reference also. But I would suggest to include exemptions as per GST Council in details because one should know which supplies do not fall under GST and need not apply for GST registration. The overall experience was good and it helped in gaining knowledge that would be required in the practical field. Thanks :)""",25-04-2020
391,ISEL Global,"""The program was really helpful in understanding the aspects of six sigma coupled with Lean management towards enhancing the process capability and reducing wastes. Customer support given by the team especially Mr. Saurabh was appreciable. He helped to manage timings for the team and arranging lectures, doubt sessions, and extra sessions whenever required. Training imparted on various tools, 7QMs, aspects of lean principles and software like Minitab by Mr. Deepak Rustogi was quite useful in undertaking small projects to increase the productivity of the process. Statistical calculations were also taught nicely. """,25-04-2020
392,ISEL Global,"""I had a good experience in learning black belt certification at ISEL GLOBAL. The trainer Debasish is very experienced and shares ample real-life examples of during training and sessions. Support by ISEL is prompt and team guides in completing the requirements and certification. Overall a very satisfactory and well organized online workshop. """,25-04-2020
393,ISEL Global,"""I took the GST Practitioner online certification course. Overall felt positive about the training and material provided. Online classes very good, interactive and the way delivered was comfortable for working peoples to learn and go through. Professor, CA Jog, is very efficient, knowledgable and gives real industry examples during the training. Customer support from Mr.Shubham was excellent. The team is supportive, always available no matter what time is. Highly recommended course and institute.""",25-04-2020
394,ISEL Global,"""The lean six sigma green belt program is really helpful. I received proper support at all the stages of the certification, the training and the trainer were both good. """,24-03-2020
395,ISEL Global,"""The teaching professor had good knowledge and work experience. He had given real industry examples to explain the topic, which helps me understand the topic in an easy and faster way. The support by Saurabh is commendable. Always available. Thanks for all support, Keep it up.""",24-03-2020
396,ISEL Global,"""Customer Support is excellent. I didn't find any issues in reaching out to customer support to register and process to get certified. I found it a very structured course and easy to go through all guidelines and get certified. """,24-03-2020
397,ISEL Global,"""I took the Lean Six Sigma Black belt Online certification course. Overall felt positive about the training provided. Online classes very good, interactive and the way delivered was comfortable for working peoples to learn and go through. 
Customer support from Mr.Shubham was excellent. The team is supportive, always available no matter what time is. Highly recommended course and institute. """,24-03-2020
398,ISEL Global,"""I have completed my LSBB certification. I really appreciate your curriculum and practical knowledge.provided in this black belt certification course. The support is prompt, trainer Mr.Mukherjee is excellent and teaches in a very efficient way. 
Highly recommended course and institution. """,24-03-2020
399,ISEL Global,"""Thanks a lot for the course and support. I have passed the exam today. 
The program was very much concise and precise as per the ASQ Body of Knowledge and it was very much helpful in developing new skills. The trainer was well knowledgeable and supportive, and always open for discussions. The support staff was always helpful and cooperative for any technical assistance and doubts.""",24-03-2020
400,ISEL Global,"""The course contents as offered by the ISEL Global’s GST Practitioner Certificate course is excellent. It enriched my knowledge about the subject and help me improve my Future Job Prospectus.I am very thankful to the staff who has helped me at each and every step during this course. The online videos about the course as by CA Rahul Jain are Excellent in upgrading my knowledge. 
Overall, the course is Excellent.""",24-03-2020
401,ISEL Global,"""I want to confirm that I have appeared for the CLSSGB exam and cleared it. . 
Lean Six Sigma Program by ISEL was really helpful. Even with so little experience, I could understand all concepts very clearly. The Instructor, Mr. Debashish Mukherji was a very senior faculty and I learned a lot from his experience. Also, the study material provided is great. 
Highly recommended. """,19-03-2020
402,ISEL Global,"""This black belt program helps you make aware about complete Six Sigma terminologies and is ideal for people who are looking to gain knowledge in Lean Six Sigma domain. Customer Support was excellent. Training material might need a little more detailed information as it was difficult to follow through. Overall, this program meets my requirements. Thanks
""",19-03-2020
403,ISEL Global,"""The program is good, effective and useful for professionals but needs a more practical application of the knowledge shared by the facilitator. Customer Support is good. 
Training is in line with the course but deeper knowledge on the subject is required.
The trainer is very good. His knowledge of the subject is thorough and admirable.""",19-03-2020
404,ISEL Global,"""Customer support is excellent. Many thanks to Shubham for his support and guidance throughout the course. Training materials are good. Trainer Dr.A.R has a unique way of approach in teaching the concepts which made LSS look very easy for beginners like me. Really worth every penny...Very happy to be a part of the ISEL LSSGB program. Looking forward to LSSBB... """,19-03-2020
405,ISEL Global,"""The lean six sigma green belt training was well designed for working professionals as the timings were changed/modified as per the candidate’s convenience. The speed of the training was perfect. The trainer was able to give logical answers to our queries. His knowledge level was awesome.""",04-02-2020
406,ISEL Global,"""Glad to tell you that I passed the LSSBB exam yesterday. I have attended Online Training and also taken help from saved video recordings. My Trainer - Debasish Mukherjee sir has explained all he topics & really helps me in understanding the concepts clearly. 
Great to connect to such a professional institute for career drive, Highly recommended. 
""",04-02-2020
407,ISEL Global,"""Good program. I was able to learn sitting at my home since spending a whole day in-classroom was not feasible for me. live sessions helped me solve my queries during the sessions. The trainer was able to explain the subject matter very well. 
Highly recommeded course and institute for six sigma certification. """,04-02-2020
408,ISEL Global,"""Great content delivery, responsive and Trainer has a good grip on the subject. Overall a good experience of learning basics of PMP. """,23-01-2020
409,ISEL Global,"""Good program and a very helpful team. Mr. Bala is an experienced trainer who engaged us well with interactive sessions and mock tests. Good study material shared for self-study.
Shubham from the support team is helpful and responsive at each and every step. """,23-01-2020
410,ISEL Global,"""Recently had a corporate workshop on PMP by ISEL GLOBAL. The Trainer Mr. Prasad, had a very interactive style of teaching. His experience was evidently vast which helped clarify many concepts. The trainer had an in-depth knowledge of the syllabus and was motivating. 
The support team is very good, prompt in response and always available. 
Material and preparatory stuff is very helpful in preparing and gaining confidence for PMP certification final examination. """,23-01-2020
411,ISEL Global,"""My experience with ISEL Global has been fantastic so far. I enrolled for my Lean Six Sigma Black Belt program and cleared it last night. Since the beginning, ISEL provided me the utmost customer support and guidance from the selection of the course to the final examination and on. I would like to thank Saurabh for always supporting me and providing me with the best assistance to enhance my career skills. Mr. Saurabh also offered me to get enrolled in PMP Certification training with PDU as complimentary. All the ISEL Global Authority members are highly educated, supportive and extremely student-centric. I felt their goal was to make sure i learn, understand and enhance my knowledge along with getting certified to reach my desired goals. They gave me several advices about not only the course and registration but also, about what to expect at the interview. The training was excellent and the instructor were experts in their field MR. Rustagi and Dr. Arivind both have experience of more than 20 years. They were great guiding and supporting the students in not only classwork but also at the workplace and interview.""",20-01-2020
412,ISEL Global,"""I just wanted to share the happy news of my success in clearing the PMP Exam. I cleared my exam yesterday.

I would like to thank the ISEL Team for all the valuable support extended from the beginning and for the motivation given whenever I reached out to you. Your structured approach with virtual training and the support study materials provided proved effective in my preparation.

I would pursue other certification programs through you and would like the same level of support.

Please extend my appreciation to all other staff at ISEL who had also contributed indirectly towards my success.
""",17-01-2020
413,ISEL Global,"""ISEL Course design is detailed and contains sufficient information to relate the knowledge with practical experience, the training modules & trainer are highly qualified with vast experience and knowledge base to address the doubts. Customer support is always available. 

A lot of thanks to ISEL for the support, guidance which was provided throughout the course duration and helped in the successful completion of LSSGB & LSSBB courses.""",17-01-2020
414,ISEL Global,"""The six sigma black belt training was absolutely superb and I genuinely enjoyed each and every moment of it. The content was extremely informative and incredibly useful. I have attended several pieces of training before but I can't recall any of them having such a strong impact. You have done a wonderful job and I appreciate your efforts.

I will surely recommend this training to all my colleagues and friends. I, myself, would love to attend future training organized or featured by you. """,31-12-2019
415,ISEL Global,"""An excellent faculty and environment for learning, the best way to get an education in a compact learning environment. The trainer was phenomenal in imparting the knowledge of the course. Overall an Outstanding Endeavour. 

 I will recommend this program to be of paramount importance for one's career growth. Trainer well informed of the subject and the worksheets and tool kits are informative. """,31-12-2019
416,ISEL Global,"""Thanks, I have completed LSSBB exam and have passed the exam.
Trainer and the training program were good and customer support was excellent and they were prompt in clarifying queries and able to reachable through phone for any clarification at any point of time. 
What App group formed for certified LSSBB resources which will help us to connect and clarify any real-time queries during real-time project execution among us at any point of time is another best thing at ISEL. """,31-12-2019
417,ISEL Global,"""I have attended online sessions for Lean Six Sigma Black Belt, & I honestly admit that the content is too good, and the trainer is knowledgeable but they present the content in a very interesting way.

There were no technical glitches while attending sessions, voice clarity was good, you can put up your queries and trainer interaction with students was also good.

As the content is vast & students are from varied backgrounds, a reserve session should be kept for covering up sessions & hands-on training.""",31-12-2019
418,ISEL Global,"""Thanks to ISEL Global for continuous support. Today i am glad to complete and successfully pass the black belt certification on Lean Six Sigma Certification. The over all experience is wonderful. Entire course from registration to getting certified is smooth and easy. One has to just follow the process and it becomes easy to achieve the BB certification. The material and trainers is the best, the industry standard. Support by team is excellent. Highly recommended course and institute for lean six sigma. """,31-12-2019
419,ISEL Global,"""Trainer has a vast knowledge of Project Management and had good examples to share in context with most of the topic being trained, however, needed a few more hours to understand agile too. . Overall in context to PMP Preparation, the training is best.....Highly recommended. """,31-12-2019
420,ISEL Global,"""PMP is one of the most important programs for any Project Manager or executive aspiring to be one. It gives an in-depth understanding of the roles and responsibilities of a Project Manager along with telling how to execute the same. 
This is highly recommended and a must for all individuals who are involved in any type of project handling in their professional life. 

Customer Service - ISEL has been a great organization and its service has been top-notch in terms of support, providing a guideline, Study material, arranging training, etc. 

Our Trainer Mr. Prasad had an amazing insight in the world of project management in terms of practical Scenario and PMI both. He taught with examples making each concept relatable and easy. The training material was precise and help in drawing the outline for our preparation.""",31-12-2019
421,ISEL Global,""" Overall good. The trainer was very knowledgeable on the subject and gave us room to relate training topics to our jobs, which helped deepen the understanding of certain tools/techniques. Just a suggestion, the 90-day online window can start after the contact classes.""",31-12-2019
422,ISEL Global,""" The method used in the training session was very easy to grasp and understand. The relativity with which the program was constructed was very much suited to our field and needs. A very much thanks for creating and imparting the training in such awesome way.""",31-12-2019
423,ISEL Global,""" The method used in the training session was very easy to grasp and understand. The relativity with which the program was constructed was very much suited to our field and needs. A very much thanks for creating and imparting the training in such awesome way.""",31-12-2019
424,ISEL Global,"""Classroom program conducted by ISEL over 5 contact days. All topics relevant to Green Belt as well as Black Belt Lean Six Sigma were covered from basics to professional knowledge with apt use of practical examples highlighted by the trainer. Theoritical, as well as Numerical aspects, were covered and the later highlighted through Excel and Mini Tab. Exhaustive coverage of all topics helped in tackling the exam questions with confidence and hence the fair results. Very well coordinated by Mr. Saurabh and Mr Deepak. Both administrative and educational aspects ticked all the boxes, which are required for a conducive learning atmosphere.
Customer Support - The compiled booklet on Lean Six Sigma concepts together with the numerical and exercises provided therein helped in better grasping of topics and fundamentals. Sharing of video lessons on the Web portal was really helpful in revising, re grasping the weaker topics and for better comprehension.  
Trainer - Mr. Deepak showed in-depth theoretical and practical knowledge of all the topics. His prior experience with IBM and in Australia to name a few, helped in imbibing practical examples from the industry and learn first hand the projects which he himself had undertaken over no of years. His one to one interaction with the trainees and "" Probing for Answers "" type of approach really helped in using our grey cells to think beyond our current knowledge base and hence better grasping of the subject. 
Overall Well-conducted training, covering class room teaching, on line video lessons and a comprehensive booklet for practice and theoretical knowledge base.""",24-12-2019
425,ISEL Global,"""An excellent set up to impart knowledge-based programs with very well laid out curriculum and training methodology. The trainer was phenomenal in imparting the knowledge of the course. Overall an Outstanding Endeavour. """,24-12-2019
426,ISEL Global,"""DEEPAK RUSTAGI is an excellent coach. The training was conducted very well. Successfully completed Lean six sigma green belt and black belt certification. Well organized and executed. Thanks, ISEL GLOBAl. """,24-12-2019
427,ISEL Global,"""I had a great learning experience from the Master Black Belt Program of ISEL. It's a well-crafted program for a working individual who wants to inculcate wider range of skills in Process Excellence and Strategy. Trainer of the Program Mr. Deepak Rastogi has great knowledge on the subject and used a lot of examples from his working experience to make the topic more practical and easy to understand.
""",08-10-2019
428,ISEL Global,"""It's really amazing to be a part of ISEL educational training activity. I did my Lean Six Sigma Green and Black Belt from this institute. All the things which I learned from these courses is simply amazing. The trainer providing training and lectures are extremely knowledgable and has deep knowledge about these courses. I think the way of teaching and delivering lectures are simply amazing, people will never forget the teaching as the way of teaching is very simple.

Last but not least, I should say my sincere thanks to Shubham working in ISEL in Admin department for his continuous help and guidance in achieving the courses and making my journey easy.

I strongly recommend all to register courses in ISEL Training Institute and make the career to grow in the right path. 

Once again thanks to ISEL for grooming my career.
""",08-10-2019
429,ISEL Global,"""I really liked the black belt program. Classes arranged were very valuable & our mentor helped us correlate with our daily organizational problems & how to solve them using Six sigma practices. This made sessions interesting and engaging. """,08-10-2019
